Station_Code,Well_Name,LATITUDE,LONGITUDE,Elevation,COUNTY_NAME,BASIN_CODE,BASIN_NAME,Well_Depth,WELL_USE,WELL_TYPE
21N03W01R003M,Screen: 590-1310 ft,39.696348,-122.140542,203.53,Glenn,5-021.52,Colusa,1360.0,Irrigation,Single Well
21N03W23C001M,Screen: 55-75 ft,39.66763156,-122.1697472,200.35,Glenn,5-021.52,Colusa,110.0,Unknown,Unknown
21N03W23D001M,Screen: 363-373 ft,39.667156,-122.177342,204.76,Glenn,5-021.52,Colusa,420.0,Observation,Part of a nested/multi-completion well
21N03W23D002M,Screen: 142-170 ft,39.667156,-122.177342,204.76,Glenn,5-021.52,Colusa,191.0,Observation,Part of a nested/multi-completion well
21N03W23D003M,Screen: 42-72 ft,39.667156,-122.177342,204.76,Glenn,5-021.52,Colusa,84.0,Observation,Part of a nested/multi-completion well
21N03W23D004M,Screen: 48-68 ft,39.667503,-122.176598,205.07,Glenn,5-021.52,Colusa,80.0,Unknown,Unknown
21N03W23D005M,Screen: 46-66 ft,39.66697,-122.176876,203.07,Glenn,5-021.52,Colusa,92.0,Unknown,Unknown
21N03W31R002M,Screen: Unknown,39.624656,-122.234998,185.46,Glenn,5-021.52,Colusa,410.0,Unknown,Unknown
21N03W31R003M,Screen: Unknown,39.624656,-122.234998,185.46,Glenn,5-021.52,Colusa,565.0,Unknown,Unknown
21N03W31R004M,Screen: Unknown,39.624656,-122.234998,185.46,Glenn,5-021.52,Colusa,240.0,Unknown,Unknown
21N03W31R005M,Screen: Unknown,39.624656,-122.234998,185.46,Glenn,5-021.52,Colusa,120.0,Unknown,Unknown
21N03W34Q002M,Screen: 929-959 ft,39.624339,-122.187178,166.65,Glenn,5-021.52,Colusa,1020.0,Observation,Part of a nested/multi-completion well
21N03W34Q003M,Screen: 620-690 ft,39.624339,-122.187178,166.65,Glenn,5-021.52,Colusa,720.0,Observation,Part of a nested/multi-completion well
21N03W34Q004M,Screen: 58-68 ft,39.624339,-122.187178,166.65,Glenn,5-021.52,Colusa,80.0,Observation,Part of a nested/multi-completion well
21N04W12A001M,Screen: 595-605 ft,39.697104,-122.253457,247.88,Glenn,5-021.52,Colusa,640.0,Observation,Part of a nested/multi-completion well
21N04W12A002M,Screen: 247-257 ft,39.697104,-122.253457,247.88,Glenn,5-021.52,Colusa,278.0,Observation,Part of a nested/multi-completion well
21N04W12A003M,Screen: 955-1050 ft,39.697092,-122.253305,247.5,Glenn,5-021.52,Colusa,1080.0,Observation,Part of a nested/multi-completion well
21N04W12A004M,Screen: 520-640 ft,39.697092,-122.253305,247.5,Glenn,5-021.52,Colusa,659.0,Observation,Part of a nested/multi-completion well
21S25E06K001M,LTRID TSS U,36.1307,-119.31281,256.86,Tulare,5-022.13,Tule,290.0,Observation,Part of a nested/multi-completion well
21S25E06K002M,LTRID TSS M,36.1307,-119.31281,256.86,Tulare,5-022.13,Tule,815.0,Observation,Part of a nested/multi-completion well
21S25E06K003M,LTRID TSS L,36.1307,-119.31281,256.86,Tulare,5-022.13,Tule,1480.0,Observation,Part of a nested/multi-completion well
22N01E28J001M,Screen: 460-559 ft,39.731678,-121.864995,178.87,Butte,5-021.57,Vina,660.0,Observation,Part of a nested/multi-completion well
22N01E28J003M,Screen: 200-279 ft,39.731678,-121.864995,178.29,Butte,5-021.57,Vina,320.0,Observation,Part of a nested/multi-completion well
22N01E28J005M,Screen: 740-800 ft,39.731678,-121.864995,178.89,Butte,5-021.57,Vina,948.0,Observation,Part of a nested/multi-completion well
22N01E32E004M,Screen: Unknown,39.718967,-121.898284,150.94,Butte,5-021.70,Butte,,Residential,Single Well
22N01E35E001M,Screen: 101-372 ft,39.718223,-121.843211,182.33,Butte,5-021.57,Vina,656.0,Irrigation,Single Well
22N01W05M001M,Screen: Unknown,39.787113,-122.010001,151.48,Butte,5-021.57,Vina,200.0,Irrigation,Single Well
22N01W19K005M,Screen: 920-1230 ft,39.747504,-122.022112,155.94,Glenn,5-021.51,Corning,1300.0,Irrigation,Single Well
22N01W29N001M,Screen: 859-1135 ft,39.72627,-122.010524,146.25,Glenn,5-021.51,Corning,1204.0,Observation,Part of a nested/multi-completion well
22N01W29N002M,Screen: 549-641 ft,39.72627,-122.010524,146.25,Glenn,5-021.51,Corning,670.0,Observation,Part of a nested/multi-completion well
22N01W29N003M,Screen: 189-380 ft,39.72627,-122.010524,146.25,Glenn,5-021.51,Corning,400.0,Observation,Part of a nested/multi-completion well
22N01W29N004M,Screen: 99-109 ft,39.72627,-122.010524,146.25,Glenn,5-021.51,Corning,120.0,Observation,Part of a nested/multi-completion well
22N02E30C002M,Screen: 90-190 ft,39.738267,-121.798145,243.63,Butte,5-021.57,Vina,203.0,Observation,Single Well
22N02W01N001M,Screen: 812-1050 ft,39.783564,-122.046138,159.21,Glenn,5-021.51,Corning,1100.0,Observation,Part of a nested/multi-completion well
22N02W01N002M,Screen: 698-708 ft,39.783564,-122.046138,159.21,Glenn,5-021.51,Corning,730.0,Observation,Part of a nested/multi-completion well
22N02W01N003M,Screen: 209-367 ft,39.783564,-122.046138,159.0,Glenn,5-021.51,Corning,440.0,Observation,Part of a nested/multi-completion well
22N02W01N004M,Screen: 70-80 ft,39.783564,-122.046138,159.21,Glenn,5-021.51,Corning,108.0,Observation,Part of a nested/multi-completion well
22N02W02J001M,Screen: 800-1300 ft,39.787447,-122.049408,164.7,Glenn,5-021.51,Corning,1350.0,Irrigation,Single Well
22N02W15C002M,Screen: 759-780 ft,39.763431,-122.077156,189.3,Glenn,5-021.51,Corning,825.0,Observation,Part of a nested/multi-completion well
22N02W15C003M,Screen: 370-380 ft,39.763459,-122.077139,189.3,Glenn,5-021.51,Corning,422.0,Observation,Part of a nested/multi-completion well
22N02W15C004M,Screen: 210-220 ft,39.763459,-122.077139,189.3,Glenn,5-021.51,Corning,258.0,Observation,Part of a nested/multi-completion well
22N02W15C005M,Screen: 60-70 ft,39.763459,-122.077139,189.3,Glenn,5-021.51,Corning,100.0,Observation,Part of a nested/multi-completion well
22N02W18C001M,Screen: 989-1029 ft,39.76820217,-122.1364444,223.44,Glenn,5-021.51,Corning,1062.0,Observation,Part of a nested/multi-completion well
22N02W18C002M,Screen: 414-434 ft,39.76820217,-122.1364444,223.44,Glenn,5-021.51,Corning,482.0,Observation,Part of a nested/multi-completion well
22N02W18C003M,Screen: 165-175 ft,39.76820217,-122.1364444,223.44,Glenn,5-021.51,Corning,188.0,Observation,Part of a nested/multi-completion well
22N02W18C004M,Screen: 55-65 ft,39.768197,-122.13642,223.44,Glenn,5-021.51,Corning,90.0,Observation,Part of a nested/multi-completion well
22N02W30H002M,Screen: 850-880 ft,39.73245,-122.123331,204.43,Glenn,5-021.52,Colusa,930.0,Observation,Part of a nested/multi-completion well
22N02W30H003M,Screen: 130-260 ft,39.73245,-122.123331,204.43,Glenn,5-021.52,Colusa,275.0,Observation,Part of a nested/multi-completion well
22N02W30H004M,Screen: 45-70 ft,39.73245,-122.123331,204.32,Glenn,5-021.52,Colusa,80.0,Observation,Part of a nested/multi-completion well
22N02W30R001M,Screen: 710-916 ft,39.725267,-122.128059,207.43,Glenn,5-021.52,Colusa,1060.0,Irrigation,Single Well
22N03W01R001M,Screen: 470-480 ft,39.78662,-122.145489,226.04,Glenn,5-021.51,Corning,525.0,Observation,Part of a nested/multi-completion well
22N03W01R002M,Screen: 270-280 ft,39.78662,-122.145489,226.04,Glenn,5-021.51,Corning,314.0,Observation,Part of a nested/multi-completion well
22N03W01R003M,Screen: 60-70 ft,39.78662,-122.145489,226.04,Glenn,5-021.51,Corning,103.0,Observation,Part of a nested/multi-completion well
22N03W24E001M,Screen: 800-820 ft,39.747339,-122.155887,230.51,Glenn,5-021.52,Colusa,850.0,Observation,Part of a nested/multi-completion well
22N03W24E002M,Screen: 128-178 ft,39.747339,-122.155887,230.51,Glenn,5-021.52,Colusa,195.0,Observation,Part of a nested/multi-completion well
22N03W24E003M,Screen: 49-59 ft,39.747339,-122.155887,230.51,Glenn,5-021.52,Colusa,70.0,Observation,Part of a nested/multi-completion well
22N03W28P001M,Screen: 390-400 ft,39.727914,-122.207145,258.22,Glenn,5-021.52,Colusa,430.0,Observation,Part of a nested/multi-completion well
22N03W28P002M,Screen: 270-290 ft,39.727914,-122.207145,258.22,Glenn,5-021.52,Colusa,304.0,Observation,Part of a nested/multi-completion well
22N03W28P003M,Screen: 30-50 ft,39.727914,-122.207145,258.22,Glenn,5-021.52,Colusa,69.0,Observation,Part of a nested/multi-completion well
22N03W28P004M,Screen: 32-52 ft,39.727914,-122.207145,257.31,Glenn,5-021.52,Colusa,80.0,Unknown,Unknown
22N04W01A001M,Corning Basin TSS-D,39.797404778,-122.252302896,318.27,Tehama,5-021.51,Corning,715.0,Observation,Part of a nested/multi-completion well
22N04W01A002M,Corning Basin TSS-ID,39.797404778,-122.252302896,318.32,Tehama,5-021.51,Corning,550.0,Observation,Part of a nested/multi-completion well
22N04W01A003M,Corning Basin TSS-IS,39.797404778,-122.252302896,318.3,Tehama,5-021.51,Corning,350.0,Observation,Part of a nested/multi-completion well
22N04W01A004M,Corning Basin TSS-S,39.797404778,-122.252302896,318.36,Tehama,5-021.51,Corning,70.0,Observation,Part of a nested/multi-completion well
22N04W27Q001M,LL Well 3,39.726584,-122.296304,327.53,Glenn,5-021.52,Colusa,380.0,Irrigation,Single Well
22N15E11C001M,DMW 7d,39.77772277,-120.268246,4898.93,Plumas,5-012.01,Sierra Valley,1100.0,Observation,Part of a nested/multi-completion well
22N15E11C002M,DMW 7id,39.77772277,-120.2682918,4898.86,Plumas,5-012.01,Sierra Valley,850.0,Observation,Part of a nested/multi-completion well
22N15E11C003M,DMW 7i,39.77772277,-120.2682918,4898.73,Plumas,5-012.01,Sierra Valley,720.0,Observation,Part of a nested/multi-completion well
22N15E11C004M,DMW 7is,39.77772277,-120.2682918,4898.67,Plumas,5-012.01,Sierra Valley,460.0,Observation,Part of a nested/multi-completion well
22N15E11C005M,DMW 7s,39.77772277,-120.2682918,4898.54,Plumas,5-012.01,Sierra Valley,160.0,Observation,Part of a nested/multi-completion well
22S28E06C003M,ETGSA-01 Lower,36.04853,-118.99319,476.79,Tulare,5-022.13,Tule,164.0,Observation,Single Well
22S28E06C004M,ETGSA-01 Upper,36.04853,-118.99324,476.67,Tulare,5-022.13,Tule,55.0,Observation,Single Well
23N01W10M001M,Screen: 90-200 ft,39.861936,-121.974546,187.38,Butte,5-021.57,Vina,220.0,Observation,Single Well
